Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
2360,--,--,--,SI,SI,--,SI,SI,SI,6770060.0,"-33,8794559527188","-59,8753284459435",0,3220,375
34760,SI,SI,SI,SI,--,SI,SI,SI,SI,6778020.0,"-35,0135125285778","-58,3865346894091",0,96,379
0,--,SI,--,--,--,SI,SI,SI,SI,6778020.0,"-35,048692550243","-58,3145745868708",0,1144,379
23405,SI,SI,SI,SI,--,SI,SI,SI,SI,6778020.0,"-35,010404143813","-58,4699705982043",0,3197,379
478,SI,--,--,--,--,SI,SI,--,SI,6784010.0,"-34,6100370680434","-59,7504234207746",0,1558,393
8403,SI,--,SI,SI,--,SI,SI,SI,SI,6784020.0,"-34,7712617839883","-59,6879181821818",0,3325,393
57,--,--,--,--,--,SI,--,--,--,6791010.0,"-37,1293125663244","-59,105380206456",0,1106,398
40985,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,6375496406835","-58,4016756206755",1,2583,50
4730,SI,--,SI,SI,SI,--,SI,SI,SI,26042030.0,"-43,288807480447","-65,4924135000744",4,1499,149
82,--,--,--,--,SI,--,SI,--,--,26049010.0,"-42,5683892291525","-68,9190916237139",4,550,151
